F1_target_variable,F1_collaborative_variable1,F1_collaborative_variable2,F1_collaborative_variable3,F1_collaborative_variable4
0.5269,373.0228,0.9088,0.284,0.3218
0.5271,372.1023,0.9105,0.2844,0.322
0.5272,371.1602,0.9121,0.2847,0.3222
0.5274,370.1951,0.9137,0.2851,0.3224
0.5275,369.2138,0.9153,0.2854,0.3225
0.5277,368.2181,0.9168,0.2858,0.3227
0.5278,367.209,0.9183,0.2862,0.3229
0.5279,366.1871,0.9198,0.2865,0.323
0.5281,365.1606,0.9213,0.2869,0.3232
0.5282,364.1306,0.9227,0.2872,0.3234
0.5283,363.1003,0.9241,0.2876,0.3235
0.5285,362.0732,0.9254,0.2879,0.3237
0.5286,361.0549,0.9268,0.2883,0.3238
0.5287,360.0497,0.9281,0.2886,0.324
0.5288,359.0598,0.9294,0.289,0.3242
0.5289,358.0909,0.9307,0.2893,0.3243
0.529,357.1501,0.9319,0.2896,0.3245
0.5292,356.2434,0.9331,0.29,0.3246
0.5293,355.3794,0.9343,0.2903,0.3248
0.5294,354.5639,0.9355,0.2907,0.3249
0.5295,353.8059,0.9366,0.291,0.3251
0.5296,353.1116,0.9378,0.2913,0.3252
0.5297,352.4878,0.9389,0.2917,0.3254
0.5298,351.9417,0.94,0.292,0.3255
0.5299,351.4798,0.941,0.2923,0.3257
0.53,351.1086,0.9421,0.2927,0.3258
0.53,350.8339,0.9431,0.293,0.326
0.5301,350.6628,0.9441,0.2933,0.3261
0.5302,350.6023,0.9452,0.2937,0.3263
0.5303,350.6592,0.9461,0.294,0.3264
0.5304,350.8416,0.9471,0.2943,0.3266
0.5305,351.1562,0.9481,0.2947,0.3267
0.5306,351.6103,0.949,0.295,0.3269
0.5307,352.2121,0.95,0.2953,0.327
0.5308,352.9688,0.9509,0.2957,0.3272
0.5309,353.8875,0.9518,0.296,0.3273
0.531,354.9744,0.9527,0.2963,0.3275
0.5311,356.2363,0.9536,0.2967,0.3276
0.5312,357.6787,0.9545,0.297,0.3278
0.5313,359.3089,0.9553,0.2973,0.328
0.5314,361.1322,0.9562,0.2977,0.3281
0.5315,363.1544,0.957,0.298,0.3283
0.5316,365.3785,0.9578,0.2983,0.3284
0.5317,367.811,0.9586,0.2987,0.3286
0.5319,370.4538,0.9594,0.299,0.3287
0.532,373.3108,0.9602,0.2993,0.3289
0.5321,376.3849,0.9609,0.2996,0.329
0.5322,379.6771,0.9616,0.3,0.3292
0.5323,383.1898,0.9623,0.3003,0.3293
0.5325,386.9223,0.963,0.3006,0.3295
0.5326,390.8758,0.9637,0.3009,0.3296
0.5327,395.0494,0.9643,0.3013,0.3298
0.5328,399.4401,0.965,0.3016,0.3299
0.5329,404.0457,0.9656,0.3019,0.3301
0.5331,408.864,0.9662,0.3022,0.3302
0.5332,413.8893,0.9667,0.3025,0.3304
0.5333,419.1186,0.9673,0.3029,0.3305
0.5334,424.5475,0.9678,0.3032,0.3307
0.5335,430.169,0.9683,0.3035,0.3308
0.5336,435.9783,0.9688,0.3038,0.331
0.5337,441.97,0.9692,0.3041,0.3311
0.5338,448.135,0.9696,0.3044,0.3312
0.5339,454.4689,0.97,0.3047,0.3314
0.5339,460.9631,0.9704,0.305,0.3315
0.534,467.6092,0.9708,0.3053,0.3316
0.5341,474.4003,0.9711,0.3056,0.3317
0.5341,481.3292,0.9714,0.3059,0.3319
0.5342,488.3865,0.9717,0.3062,0.332
0.5343,495.5639,0.9719,0.3065,0.3321
0.5343,502.8533,0.9722,0.3068,0.3322
0.5344,510.2479,0.9724,0.3071,0.3323
0.5344,517.7372,0.9726,0.3074,0.3324
0.5344,525.3135,0.9727,0.3077,0.3325
0.5345,532.9695,0.9728,0.308,0.3326
0.5345,540.6965,0.9729,0.3082,0.3327
0.5345,548.4854,0.973,0.3085,0.3328
0.5346,556.3301,0.973,0.3088,0.3329
0.5346,564.2218,0.973,0.3091,0.333
0.5346,572.1547,0.973,0.3093,0.3331
0.5346,580.1179,0.9729,0.3096,0.3332
0.5347,588.1109,0.9728,0.3098,0.3332
0.5347,596.1233,0.9727,0.3101,0.3333
0.5347,604.1505,0.9726,0.3103,0.3334
0.5347,612.1852,0.9724,0.3106,0.3334
0.5348,620.2204,0.9722,0.3108,0.3335
0.5348,628.259,0.9719,0.311,0.3335
0.5348,636.2838,0.9716,0.3113,0.3336
0.5349,644.3007,0.9713,0.3115,0.3336
0.5349,652.2989,0.9709,0.3117,0.3337
0.535,660.2737,0.9705,0.3119,0.3337
0.535,668.2206,0.9701,0.3122,0.3337
0.535,676.1358,0.9696,0.3124,0.3338
0.5351,684.0147,0.9691,0.3126,0.3338
0.5351,691.8521,0.9685,0.3128,0.3338
0.5352,699.6464,0.9679,0.3129,0.3338
0.5352,707.3927,0.9672,0.3131,0.3338
0.5353,715.0912,0.9665,0.3133,0.3338
0.5353,722.735,0.9658,0.3135,0.3339
0.5353,730.3285,0.9651,0.3137,0.3339
0.5354,737.87,0.9643,0.3138,0.3339
0.5354,745.3567,0.9634,0.314,0.3339
0.5354,752.7932,0.9625,0.3142,0.3338
0.5355,760.1816,0.9616,0.3143,0.3338
0.5355,767.5253,0.9607,0.3145,0.3338
0.5355,774.8287,0.9597,0.3146,0.3338
0.5356,782.095,0.9587,0.3147,0.3338
0.5356,789.3362,0.9576,0.3149,0.3338
0.5356,796.5485,0.9566,0.315,0.3337
0.5357,803.7487,0.9555,0.3152,0.3337
0.5357,810.9402,0.9544,0.3153,0.3337
0.5358,818.1339,0.9533,0.3154,0.3336
0.5358,825.3439,0.9522,0.3155,0.3336
0.5359,832.5743,0.9511,0.3156,0.3336
0.536,839.8392,0.95,0.3158,0.3335
0.5361,847.1501,0.949,0.3159,0.3335
0.5362,854.5198,0.9479,0.316,0.3334
0.5363,861.9629,0.9469,0.3161,0.3334
0.5365,869.4893,0.9459,0.3162,0.3333
0.5366,877.1171,0.945,0.3163,0.3333
0.5368,884.8558,0.9441,0.3164,0.3332
0.537,892.7241,0.9432,0.3165,0.3331
0.5372,900.7395,0.9425,0.3166,0.3331
0.5374,908.9111,0.9417,0.3167,0.333
0.5377,917.2612,0.941,0.3168,0.333
0.538,925.8074,0.9404,0.3169,0.3329
0.5383,934.5633,0.9399,0.317,0.3329
0.5386,943.5521,0.9394,0.3171,0.3329
0.5389,952.79,0.9389,0.3172,0.3328
0.5393,962.2997,0.9386,0.3173,0.3328
0.5397,972.1035,0.9382,0.3174,0.3328
0.5401,982.2209,0.9379,0.3175,0.3328
0.5405,992.6671,0.9377,0.3176,0.3328
0.5409,1003.4744,0.9375,0.3177,0.3328
0.5413,1014.6558,0.9373,0.3178,0.3328
0.5418,1026.2327,0.9372,0.3179,0.3329
0.5423,1038.2195,0.937,0.3181,0.3329
0.5427,1050.6318,0.9369,0.3182,0.333
0.5432,1063.4827,0.9368,0.3183,0.3331
0.5437,1076.7765,0.9368,0.3184,0.3332
0.5442,1090.5215,0.9367,0.3185,0.3333
0.5447,1104.7075,0.9367,0.3186,0.3334
0.5452,1119.3298,0.9366,0.3187,0.3336
0.5457,1134.3772,0.9366,0.3188,0.3338
0.5462,1149.8245,0.9366,0.3189,0.3339
0.5467,1165.6456,0.9366,0.3191,0.3341
0.5472,1181.7992,0.9366,0.3192,0.3343
0.5477,1198.2512,0.9366,0.3193,0.3345
0.5481,1214.9471,0.9366,0.3194,0.3347
0.5486,1231.8295,0.9367,0.3195,0.3349
0.549,1248.8351,0.9367,0.3196,0.3351
0.5494,1265.8928,0.9368,0.3197,0.3353
0.5498,1282.9269,0.9368,0.3198,0.3355
0.5502,1299.8528,0.9368,0.3199,0.3357
0.5505,1316.5791,0.9368,0.32,0.3358
0.5508,1333.0181,0.9368,0.3201,0.336
0.551,1349.0688,0.9367,0.3202,0.3361
0.5513,1364.6333,0.9366,0.3203,0.3362
0.5514,1379.6132,0.9364,0.3204,0.3363
0.5516,1393.9084,0.9362,0.3205,0.3364
0.5516,1407.4282,0.9359,0.3206,0.3365
0.5517,1420.0818,0.9355,0.3207,0.3365
0.5516,1431.7839,0.935,0.3207,0.3365
0.5516,1442.4601,0.9344,0.3208,0.3365
0.5514,1452.0471,0.9337,0.3209,0.3365
0.5512,1460.4888,0.9329,0.3209,0.3365
0.5509,1467.7375,0.9319,0.321,0.3364
0.5506,1473.7588,0.9309,0.321,0.3364
0.5501,1478.5381,0.9297,0.3211,0.3363
0.5496,1482.0642,0.9285,0.3211,0.3362
0.5491,1484.3423,0.9271,0.3211,0.3361
0.5484,1485.3855,0.9255,0.3211,0.336
0.5477,1485.2241,0.9239,0.3211,0.3359
0.547,1483.8921,0.922,0.3211,0.3357
0.5461,1481.4302,0.9201,0.3211,0.3355
0.5452,1477.8898,0.918,0.3211,0.3353
0.5442,1473.3198,0.9157,0.3211,0.3351
0.5432,1467.7715,0.9134,0.321,0.3348
0.542,1461.3022,0.9109,0.321,0.3345
0.5409,1453.9561,0.9083,0.3209,0.3342
0.5396,1445.7869,0.9056,0.3209,0.3339
0.5383,1436.8379,0.9028,0.3208,0.3335
