epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6611,4.62932,5.49401,4.23108,0,0,0,0,4.75325,4.61645,4.16566,0.000236169,0.000236169,0.000236169
2,24.5747,4.01097,4.97674,3.84922,0.80508,0.02751,0.00291,0.0009,3.5678,4.08869,3.59609,0.000471822,0.000471822,0.000471822
3,34.6663,3.65691,4.53815,3.3889,0.51553,0.04483,0.01152,0.00377,3.24569,4.11026,3.28578,0.000705119,0.000705119,0.000705119
4,44.7317,3.4119,4.32068,3.15691,0.44916,0.0629,0.03267,0.01106,2.89425,3.42224,2.96823,0.000703397,0.000703397,0.000703397
5,54.8865,3.19616,4.03988,2.92844,0.38585,0.13758,0.08408,0.03255,2.80144,3.67317,2.75014,0.000699863,0.000699863,0.000699863
6,64.931,3.05435,3.78303,2.78217,0.33503,0.16795,0.12416,0.04634,2.61212,3.0448,2.60253,0.000696328,0.000696328,0.000696328
7,74.9264,2.92249,3.53882,2.55532,0.48851,0.2059,0.20277,0.08516,2.44268,2.69524,2.40124,0.000692794,0.000692794,0.000692794
8,84.9975,2.82968,3.29577,2.46731,0.54986,0.26912,0.2275,0.09865,2.43087,2.54769,2.32889,0.00068926,0.00068926,0.00068926
9,94.8252,2.73006,3.07493,2.34377,0.46827,0.32211,0.27929,0.12199,2.32252,2.27341,2.22321,0.000685726,0.000685726,0.000685726
10,104.533,2.63156,2.95017,2.26525,0.38674,0.3711,0.30415,0.12783,2.32466,2.2156,2.16797,0.000682191,0.000682191,0.000682191
11,114.571,2.5473,2.80821,2.18634,0.43142,0.33432,0.32671,0.15535,2.24822,2.22692,2.11876,0.000678657,0.000678657,0.000678657
12,124.907,2.41813,2.62947,2.09663,0.67798,0.35498,0.359,0.17393,2.12766,2.23637,2.01349,0.000675123,0.000675123,0.000675123
13,134.84,2.45047,2.59451,2.07658,0.70224,0.3592,0.39778,0.19945,2.02267,1.97252,1.9516,0.000671588,0.000671588,0.000671588
14,144.614,2.31273,2.42504,2.007,0.53103,0.418,0.42433,0.2088,2.04547,1.83806,1.93187,0.000668054,0.000668054,0.000668054
15,154.586,2.27515,2.37674,1.96921,0.72292,0.41901,0.43531,0.21294,1.96321,1.80626,1.871,0.00066452,0.00066452,0.00066452
16,164.687,2.21679,2.26358,1.89916,0.53117,0.43983,0.44377,0.22788,1.92399,1.76319,1.85084,0.000660986,0.000660986,0.000660986
17,174.847,2.1539,2.16654,1.85726,0.65461,0.42626,0.47206,0.24912,1.87951,1.77183,1.81383,0.000657451,0.000657451,0.000657451
18,184.724,2.14013,2.10016,1.86667,0.73133,0.46678,0.51501,0.26932,1.86547,1.63254,1.78973,0.000653917,0.000653917,0.000653917
19,194.639,2.12949,2.04592,1.81826,0.72658,0.45839,0.50459,0.26093,1.8184,1.6579,1.75487,0.000650383,0.000650383,0.000650383
20,205.057,2.07932,2.00592,1.78155,0.64807,0.50908,0.5177,0.27349,1.77577,1.58902,1.7275,0.000646848,0.000646848,0.000646848
21,215.637,1.96695,1.85979,1.72549,0.57484,0.51248,0.53492,0.28799,1.80662,1.56501,1.72999,0.000643314,0.000643314,0.000643314
22,225.641,2.02624,1.94819,1.73507,0.70407,0.51532,0.54647,0.29899,1.76032,1.4705,1.71052,0.00063978,0.00063978,0.00063978
23,235.71,2.01472,1.84323,1.71107,0.5229,0.59805,0.57066,0.31776,1.72656,1.45772,1.67206,0.000636245,0.000636245,0.000636245
24,246.119,1.9408,1.85654,1.70941,0.63169,0.5227,0.56034,0.30819,1.74634,1.47291,1.68158,0.000632711,0.000632711,0.000632711
25,256.904,1.94058,1.79146,1.65383,0.53763,0.5825,0.56891,0.31566,1.69483,1.48624,1.64326,0.000629177,0.000629177,0.000629177
26,266.91,1.92967,1.75337,1.62386,0.60206,0.59704,0.59106,0.33521,1.67037,1.40942,1.60896,0.000625642,0.000625642,0.000625642
27,277.015,1.87092,1.64912,1.59471,0.59661,0.6095,0.61302,0.34286,1.66259,1.47528,1.61389,0.000622108,0.000622108,0.000622108
28,287.183,1.88617,1.63293,1.5908,0.75116,0.55615,0.60021,0.3434,1.65467,1.34492,1.60299,0.000618574,0.000618574,0.000618574
29,297.583,1.87686,1.61019,1.58753,0.74077,0.52543,0.60298,0.34927,1.63839,1.31571,1.60262,0.00061504,0.00061504,0.00061504
30,307.616,1.9026,1.68103,1.61415,0.65044,0.61155,0.60949,0.34682,1.64866,1.46008,1.58075,0.000611505,0.000611505,0.000611505
31,317.446,1.82831,1.60809,1.5732,0.72573,0.58779,0.64213,0.36815,1.62146,1.27627,1.59147,0.000607971,0.000607971,0.000607971
32,327.673,1.81134,1.53038,1.54659,0.65484,0.61831,0.63163,0.37066,1.60151,1.46576,1.56339,0.000604437,0.000604437,0.000604437
33,337.821,1.79158,1.58983,1.53919,0.73044,0.64107,0.64651,0.38026,1.5985,1.25856,1.56522,0.000600902,0.000600902,0.000600902
34,347.856,1.80727,1.52662,1.54355,0.75224,0.58987,0.65827,0.37181,1.62195,1.26438,1.57159,0.000597368,0.000597368,0.000597368
35,357.916,1.81547,1.51728,1.5341,0.71889,0.624,0.66858,0.38523,1.59948,1.29512,1.55844,0.000593834,0.000593834,0.000593834
36,367.902,1.77554,1.50448,1.53459,0.75387,0.58418,0.67215,0.38599,1.59362,1.26663,1.557,0.0005903,0.0005903,0.0005903
37,378.078,1.76123,1.46752,1.54767,0.67595,0.64572,0.65568,0.36369,1.61942,1.29134,1.5585,0.000586765,0.000586765,0.000586765
38,388.484,1.78074,1.43841,1.53564,0.75094,0.6414,0.67782,0.38447,1.61741,1.20935,1.54938,0.000583231,0.000583231,0.000583231
39,398.489,1.75716,1.40971,1.53699,0.72645,0.64958,0.68592,0.39325,1.55726,1.23577,1.5164,0.000579697,0.000579697,0.000579697
40,408.519,1.74728,1.44987,1.50638,0.78282,0.60598,0.70183,0.40344,1.57307,1.20058,1.53252,0.000576162,0.000576162,0.000576162
41,418.797,1.69743,1.37999,1.46692,0.68681,0.67412,0.70593,0.41036,1.52595,1.19053,1.50347,0.000572628,0.000572628,0.000572628
42,429.388,1.72134,1.42729,1.50475,0.75483,0.66634,0.68778,0.40416,1.53088,1.17179,1.50872,0.000569094,0.000569094,0.000569094
43,439.424,1.72113,1.37848,1.48912,0.80109,0.62547,0.69936,0.40858,1.52014,1.18505,1.49316,0.000565559,0.000565559,0.000565559
44,449.631,1.71389,1.36778,1.47493,0.75913,0.64575,0.70966,0.41672,1.51539,1.17313,1.48499,0.000562025,0.000562025,0.000562025
45,460.125,1.70559,1.37467,1.50711,0.78647,0.6779,0.71416,0.42273,1.53124,1.16266,1.49807,0.000558491,0.000558491,0.000558491
46,470.725,1.72484,1.38092,1.47915,0.78304,0.67632,0.71983,0.42345,1.53231,1.16397,1.49488,0.000554956,0.000554956,0.000554956
47,481.063,1.66958,1.31719,1.45285,0.82347,0.62481,0.7399,0.43276,1.53878,1.1383,1.49291,0.000551422,0.000551422,0.000551422
48,491.236,1.63914,1.25549,1.41605,0.78553,0.6747,0.75107,0.4432,1.49434,1.10065,1.45829,0.000547888,0.000547888,0.000547888
49,501.734,1.65156,1.2695,1.43776,0.75556,0.672,0.71723,0.41823,1.51627,1.1548,1.47872,0.000544354,0.000544354,0.000544354
50,512.192,1.67151,1.26076,1.42196,0.80583,0.66576,0.73172,0.43291,1.486,1.10053,1.46635,0.000540819,0.000540819,0.000540819
51,522.153,1.65215,1.27348,1.45068,0.7518,0.66933,0.72867,0.42121,1.50871,1.11683,1.46104,0.000537285,0.000537285,0.000537285
52,532.224,1.59833,1.21008,1.42808,0.79848,0.67826,0.73524,0.43313,1.50735,1.13321,1.46584,0.000533751,0.000533751,0.000533751
53,542.784,1.62987,1.21595,1.40302,0.77808,0.69713,0.7364,0.43029,1.50761,1.09757,1.47709,0.000530216,0.000530216,0.000530216
54,553.265,1.62119,1.24686,1.4102,0.75574,0.69429,0.74539,0.43149,1.51695,1.15812,1.46133,0.000526682,0.000526682,0.000526682
55,564.269,1.60079,1.19721,1.38894,0.75401,0.69724,0.75299,0.44457,1.49517,1.0644,1.45153,0.000523148,0.000523148,0.000523148
56,574.409,1.60373,1.1971,1.39079,0.73837,0.71967,0.75934,0.43136,1.52528,1.12123,1.46935,0.000519613,0.000519613,0.000519613
57,584.81,1.58469,1.17116,1.38752,0.81249,0.69493,0.7725,0.45587,1.46801,1.03087,1.43439,0.000516079,0.000516079,0.000516079
58,595.199,1.58884,1.17792,1.40032,0.755,0.71556,0.76861,0.46104,1.44423,1.05291,1.41957,0.000512545,0.000512545,0.000512545
59,605.696,1.58891,1.15472,1.36588,0.76901,0.69023,0.75715,0.44506,1.46204,1.03395,1.42457,0.000509011,0.000509011,0.000509011
60,615.842,1.63411,1.24113,1.40688,0.7246,0.72265,0.76112,0.45969,1.4637,1.06538,1.43998,0.000505476,0.000505476,0.000505476
61,626.007,1.59104,1.17026,1.38287,0.82261,0.71251,0.78323,0.46032,1.47779,1.0198,1.43418,0.000501942,0.000501942,0.000501942
62,636.783,1.57264,1.15418,1.38185,0.79804,0.69298,0.75979,0.44523,1.49989,1.06964,1.44626,0.000498408,0.000498408,0.000498408
63,647.066,1.56525,1.13701,1.3714,0.8218,0.69111,0.76135,0.44642,1.48916,1.05577,1.43801,0.000494873,0.000494873,0.000494873
64,657.128,1.55901,1.1593,1.38434,0.77941,0.7041,0.78012,0.45109,1.50042,1.08973,1.43905,0.000491339,0.000491339,0.000491339
65,667.363,1.55556,1.11982,1.35823,0.77055,0.74468,0.78868,0.48039,1.41695,1.01479,1.39097,0.000487805,0.000487805,0.000487805
66,677.938,1.53925,1.09226,1.34713,0.78037,0.69824,0.7623,0.45505,1.4174,1.05245,1.38109,0.000484271,0.000484271,0.000484271
67,688.635,1.57637,1.12534,1.35842,0.76537,0.74908,0.79394,0.47365,1.45478,1.03214,1.41761,0.000480736,0.000480736,0.000480736
68,698.68,1.56455,1.09588,1.3482,0.80477,0.70632,0.75957,0.45791,1.42546,1.01658,1.38651,0.000477202,0.000477202,0.000477202
69,708.913,1.54218,1.09115,1.32471,0.80474,0.74138,0.80433,0.48977,1.43061,0.95891,1.3854,0.000473668,0.000473668,0.000473668
70,719.467,1.51555,1.05774,1.33746,0.82966,0.7178,0.80119,0.48123,1.41637,0.9904,1.39498,0.000470133,0.000470133,0.000470133
71,729.88,1.55659,1.11899,1.3782,0.78616,0.71542,0.80287,0.48629,1.42839,1.028,1.39444,0.000466599,0.000466599,0.000466599
72,740.262,1.52273,1.0887,1.32984,0.79948,0.71369,0.77345,0.45055,1.46392,1.06617,1.4106,0.000463065,0.000463065,0.000463065
73,750.213,1.54821,1.08374,1.34296,0.75817,0.72743,0.77803,0.46463,1.504,1.03914,1.44045,0.00045953,0.00045953,0.00045953
74,760.657,1.52457,1.0934,1.33661,0.77719,0.76393,0.80185,0.47749,1.40862,0.94839,1.39164,0.000455996,0.000455996,0.000455996
75,771.115,1.51121,1.05194,1.32371,0.80285,0.75992,0.80739,0.48054,1.43626,0.96207,1.39393,0.000452462,0.000452462,0.000452462
76,781.105,1.46832,1.03626,1.32409,0.8083,0.73877,0.80341,0.48005,1.45428,0.96484,1.39676,0.000448928,0.000448928,0.000448928
77,791.404,1.51159,1.04811,1.30745,0.83988,0.71768,0.8047,0.48797,1.40793,0.97199,1.37624,0.000445393,0.000445393,0.000445393
78,801.668,1.48457,1.05124,1.33162,0.81418,0.74794,0.80228,0.47921,1.43444,0.93724,1.39663,0.000441859,0.000441859,0.000441859
79,812.107,1.48669,1.05184,1.31465,0.76554,0.7338,0.78532,0.47101,1.43342,0.96615,1.38876,0.000438325,0.000438325,0.000438325
80,822.379,1.48428,1.0551,1.32021,0.83398,0.71403,0.78824,0.46495,1.43322,0.95493,1.40093,0.00043479,0.00043479,0.00043479
81,832.501,1.47825,1.01035,1.29416,0.82171,0.74366,0.79486,0.47834,1.40815,0.99272,1.37457,0.000431256,0.000431256,0.000431256
82,842.697,1.46384,1.04888,1.32911,0.80075,0.73996,0.79874,0.47451,1.45777,0.98404,1.41636,0.000427722,0.000427722,0.000427722
83,853.197,1.48555,1.00873,1.30576,0.80788,0.7508,0.81525,0.48337,1.4234,0.93872,1.38927,0.000424187,0.000424187,0.000424187
84,863.732,1.48097,1.02911,1.31442,0.81477,0.75243,0.81422,0.48852,1.40887,0.94838,1.376,0.000420653,0.000420653,0.000420653
85,873.843,1.4898,1.02067,1.3064,0.83002,0.75948,0.82039,0.50049,1.36265,0.90873,1.35274,0.000417119,0.000417119,0.000417119
86,883.879,1.46008,1.00815,1.29742,0.80529,0.77717,0.81706,0.5026,1.37829,0.94975,1.35182,0.000413584,0.000413584,0.000413584
87,894.154,1.45169,0.98827,1.30404,0.79564,0.78765,0.82314,0.50108,1.38254,0.92864,1.36835,0.00041005,0.00041005,0.00041005
88,904.231,1.43374,1.00436,1.29334,0.84228,0.78509,0.83759,0.50785,1.39877,0.92641,1.37942,0.000406516,0.000406516,0.000406516
89,914.153,1.45352,0.98828,1.28027,0.80421,0.76833,0.82362,0.49402,1.42075,0.95951,1.37824,0.000402982,0.000402982,0.000402982
90,924.032,1.47385,1.00359,1.29689,0.81062,0.77423,0.8379,0.51504,1.35743,0.89223,1.34432,0.000399447,0.000399447,0.000399447
91,934.139,1.42602,0.9608,1.27749,0.83943,0.75041,0.82479,0.4868,1.42199,0.9171,1.38966,0.000395913,0.000395913,0.000395913
92,944.319,1.44582,0.95854,1.27203,0.85169,0.75775,0.82754,0.497,1.37533,0.91181,1.34739,0.000392379,0.000392379,0.000392379
93,954.163,1.40256,0.94947,1.28557,0.80771,0.74742,0.81674,0.48271,1.41547,0.93154,1.37517,0.000388844,0.000388844,0.000388844
94,964.094,1.4378,0.96834,1.29118,0.78771,0.77322,0.81532,0.49039,1.40565,0.90554,1.38144,0.00038531,0.00038531,0.00038531
95,974.203,1.43448,0.95624,1.26269,0.81107,0.77029,0.8154,0.48063,1.42585,0.93425,1.38187,0.000381776,0.000381776,0.000381776
96,984.382,1.44367,0.96787,1.29551,0.84473,0.7779,0.83937,0.50152,1.39625,0.90384,1.38028,0.000378242,0.000378242,0.000378242
97,994.487,1.44035,0.96893,1.29073,0.83131,0.77754,0.84083,0.51694,1.36125,0.87105,1.35246,0.000374707,0.000374707,0.000374707
98,1004.47,1.37119,0.91343,1.25534,0.85742,0.74978,0.83122,0.51292,1.36999,0.88392,1.36116,0.000371173,0.000371173,0.000371173
99,1014.64,1.43101,0.95275,1.27122,0.83675,0.76278,0.82986,0.50411,1.38322,0.89278,1.36515,0.000367639,0.000367639,0.000367639
100,1024.93,1.43663,0.95285,1.27897,0.87936,0.71937,0.82075,0.49133,1.41,0.9161,1.37288,0.000364104,0.000364104,0.000364104
101,1034.76,1.39426,0.90989,1.25951,0.85722,0.74271,0.8359,0.52103,1.38966,0.88668,1.36561,0.00036057,0.00036057,0.00036057
102,1044.66,1.38282,0.91665,1.26813,0.88158,0.74504,0.8299,0.49993,1.38333,0.92239,1.35461,0.000357036,0.000357036,0.000357036
103,1054.62,1.40176,0.91502,1.26812,0.86953,0.73575,0.83354,0.50901,1.37708,0.89003,1.34902,0.000353501,0.000353501,0.000353501
104,1064.71,1.41794,0.95247,1.26758,0.83785,0.77141,0.84123,0.50601,1.39505,0.88258,1.36911,0.000349967,0.000349967,0.000349967
105,1074.62,1.36217,0.91102,1.24084,0.836,0.7684,0.85352,0.50928,1.3894,0.8888,1.36677,0.000346433,0.000346433,0.000346433
106,1084.39,1.37973,0.92025,1.2624,0.84784,0.76966,0.84347,0.49801,1.38337,0.87739,1.35014,0.000342899,0.000342899,0.000342899
107,1094.3,1.42338,0.93923,1.27365,0.91424,0.74067,0.85575,0.50354,1.40172,0.88612,1.36495,0.000339364,0.000339364,0.000339364
108,1104.73,1.40732,0.92864,1.265,0.86266,0.77288,0.83982,0.5119,1.38806,0.87868,1.36892,0.00033583,0.00033583,0.00033583
109,1115.53,1.38173,0.89393,1.24275,0.86448,0.77883,0.84965,0.52084,1.34685,0.86779,1.34669,0.000332296,0.000332296,0.000332296
110,1125.57,1.38443,0.90359,1.24746,0.87474,0.77435,0.85351,0.52074,1.33857,0.84928,1.33717,0.000328761,0.000328761,0.000328761
111,1135.8,1.38668,0.92824,1.26437,0.88922,0.74826,0.84446,0.52324,1.34629,0.85165,1.35111,0.000325227,0.000325227,0.000325227
112,1146.45,1.39243,0.91291,1.26948,0.86949,0.77741,0.85893,0.52601,1.37584,0.86746,1.34213,0.000321693,0.000321693,0.000321693
113,1156.88,1.38653,0.91415,1.25503,0.87094,0.74106,0.83737,0.51512,1.35599,0.8846,1.33754,0.000318158,0.000318158,0.000318158
114,1167.1,1.37415,0.88693,1.23934,0.84914,0.78722,0.85232,0.50576,1.39969,0.86777,1.36908,0.000314624,0.000314624,0.000314624
115,1177.14,1.34452,0.86346,1.22504,0.89153,0.77919,0.85638,0.53025,1.34174,0.84101,1.34254,0.00031109,0.00031109,0.00031109
116,1187.49,1.35233,0.88523,1.22868,0.87903,0.76536,0.8535,0.51863,1.35305,0.84781,1.34296,0.000307555,0.000307555,0.000307555
117,1198.05,1.35081,0.88458,1.24491,0.86257,0.78996,0.85331,0.52265,1.36575,0.84127,1.33947,0.000304021,0.000304021,0.000304021
118,1208.07,1.36917,0.88169,1.22506,0.84421,0.78736,0.84401,0.51863,1.33611,0.8614,1.32057,0.000300487,0.000300487,0.000300487
119,1218.13,1.35636,0.88853,1.25001,0.86688,0.78206,0.8441,0.52491,1.33907,0.84534,1.3343,0.000296953,0.000296953,0.000296953
120,1228.42,1.34661,0.87043,1.23228,0.83709,0.78656,0.84915,0.51542,1.3696,0.86961,1.34662,0.000293418,0.000293418,0.000293418
121,1238.92,1.33844,0.86645,1.24225,0.86525,0.80274,0.87252,0.53461,1.35007,0.8175,1.3408,0.000289884,0.000289884,0.000289884
122,1249.23,1.32269,0.85226,1.23473,0.86621,0.77459,0.84694,0.5251,1.36242,0.83582,1.34669,0.00028635,0.00028635,0.00028635
123,1259.34,1.37015,0.88212,1.22289,0.8945,0.77446,0.85694,0.52709,1.34869,0.84055,1.33848,0.000282815,0.000282815,0.000282815
124,1269.6,1.32206,0.85945,1.21929,0.8798,0.79953,0.85881,0.5391,1.34029,0.81362,1.33712,0.000279281,0.000279281,0.000279281
125,1279.94,1.37975,0.88879,1.23718,0.87372,0.77171,0.85062,0.52765,1.34134,0.8367,1.3314,0.000275747,0.000275747,0.000275747
126,1290.36,1.36777,0.87052,1.24879,0.87205,0.79557,0.86918,0.54562,1.31041,0.80938,1.31072,0.000272212,0.000272212,0.000272212
127,1300.37,1.30119,0.83264,1.21558,0.87762,0.79527,0.86627,0.52348,1.35794,0.82732,1.34689,0.000268678,0.000268678,0.000268678
128,1310.48,1.33865,0.81938,1.20833,0.89458,0.78963,0.87097,0.53908,1.31468,0.7889,1.32186,0.000265144,0.000265144,0.000265144
129,1320.84,1.32062,0.84915,1.21965,0.86662,0.7947,0.8636,0.52679,1.353,0.81946,1.34155,0.00026161,0.00026161,0.00026161
130,1331.17,1.31808,0.85793,1.22521,0.85796,0.80542,0.87511,0.5398,1.31623,0.79893,1.32263,0.000258075,0.000258075,0.000258075
131,1341.25,1.31257,0.81939,1.20409,0.87806,0.79535,0.86235,0.52573,1.35515,0.82024,1.34576,0.000254541,0.000254541,0.000254541
132,1351.31,1.32155,0.84001,1.22595,0.89436,0.78036,0.86206,0.53906,1.34559,0.81961,1.33,0.000251007,0.000251007,0.000251007
133,1361.65,1.31423,0.8341,1.20313,0.86809,0.79273,0.8675,0.53801,1.33657,0.8232,1.32539,0.000247472,0.000247472,0.000247472
134,1372,1.30028,0.82965,1.2155,0.8949,0.77152,0.86442,0.52925,1.34338,0.84545,1.3348,0.000243938,0.000243938,0.000243938
135,1382,1.34468,0.85977,1.22584,0.88343,0.79719,0.8663,0.5349,1.33366,0.80631,1.32061,0.000240404,0.000240404,0.000240404
136,1392.06,1.26864,0.79636,1.18651,0.89177,0.77895,0.85907,0.52295,1.36396,0.81112,1.35146,0.000236869,0.000236869,0.000236869
137,1402.21,1.30536,0.82673,1.21118,0.8945,0.79249,0.86503,0.53616,1.32274,0.81409,1.31858,0.000233335,0.000233335,0.000233335
138,1412.54,1.3164,0.81467,1.20743,0.88456,0.78485,0.86132,0.53109,1.34527,0.81973,1.3339,0.000229801,0.000229801,0.000229801
