                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84043,                0.70743,                0.90005,                0.86284,                0.82029,                0.90769,                0.69705,                 0.7931,                0.63223,                0.93021,             0.00055369,             0.00055369,             0.00055369
                      2,                0.84316,                0.60057,                0.90051,                0.84594,                0.82007,                 0.8971,                0.68861,                0.82307,                0.67007,                0.94918,              0.0010984,              0.0010984,              0.0010984
                      3,                0.84495,                0.58817,                 0.9029,                 0.8623,                0.82192,                0.90381,                0.67461,                0.87622,                0.64014,                0.97519,              0.0016321,              0.0016321,              0.0016321
                      4,                0.82354,                0.56862,                0.89819,                0.87512,                0.83004,                 0.9154,                0.70707,                0.78381,                0.57283,                0.92311,              0.0016175,              0.0016175,              0.0016175
                      5,                0.82157,                0.55839,                0.89802,                0.86853,                0.84422,                0.91938,                0.71027,                0.76628,                0.60055,                0.91877,              0.0016175,              0.0016175,              0.0016175
                      6,                0.79394,                0.53538,                0.88797,                0.87339,                0.83957,                0.91816,                0.71419,                0.78659,                0.61346,                0.92642,               0.001601,               0.001601,               0.001601
                      7,                0.79909,                0.53714,                 0.8906,                 0.8765,                0.84472,                 0.9247,                0.72303,                0.77314,                0.56607,                0.92679,              0.0015845,              0.0015845,              0.0015845
                      8,                0.78044,                0.51986,                0.88415,                0.87333,                0.84848,                0.92678,                0.72523,                0.75451,                0.55423,                0.91509,               0.001568,               0.001568,               0.001568
                      9,                0.77024,                0.51309,                0.88181,                0.87509,                0.84545,                0.92024,                0.70993,                0.76929,                0.56718,                0.91393,              0.0015515,              0.0015515,              0.0015515
                     10,                0.76509,                0.50744,                0.88217,                0.89016,                0.84984,                0.93183,                0.73419,                0.75527,                0.54097,                0.92489,               0.001535,               0.001535,               0.001535
                     11,                0.75459,                0.49733,                 0.8765,                 0.8811,                0.86483,                0.93301,                0.73299,                0.72825,                0.52122,                0.90371,              0.0015185,              0.0015185,              0.0015185
                     12,                0.75039,                0.49588,                0.87684,                0.87709,                0.86181,                0.93277,                0.73703,                 0.7335,                0.52849,                0.90856,               0.001502,               0.001502,               0.001502
                     13,                0.74472,                0.48978,                0.87487,                0.88452,                0.86612,                 0.9358,                 0.7414,                0.73682,                0.52007,                0.90578,              0.0014855,              0.0014855,              0.0014855
                     14,                0.73805,                0.48467,                0.87323,                0.88702,                0.86811,                 0.9389,                0.74824,                0.72736,                 0.5107,                0.90526,               0.001469,               0.001469,               0.001469
                     15,                0.73283,                0.47762,                 0.8725,                0.89685,                0.86296,                0.93539,                0.74728,                0.71633,                0.50035,                0.90293,              0.0014525,              0.0014525,              0.0014525
                     16,                0.73004,                  0.475,                0.87223,                0.88622,                0.86736,                0.93605,                0.74457,                   0.73,                0.50319,                0.91483,               0.001436,               0.001436,               0.001436
                     17,                0.72272,                0.47086,                0.86996,                0.89354,                0.86428,                0.93941,                0.75399,                0.70844,                0.49555,                0.90007,              0.0014195,              0.0014195,              0.0014195
                     18,                0.72137,                0.46804,                0.86802,                0.89536,                 0.8632,                0.93872,                0.74846,                0.72962,                0.51733,                0.91576,              0.0014029,              0.0014029,              0.0014029
                     19,                0.71786,                0.46501,                0.86677,                0.88915,                0.87239,                 0.9411,                0.75667,                0.70476,                0.49246,                0.90376,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71596,                0.46174,                0.86722,                0.90055,                0.86404,                0.94006,                0.75581,                 0.6969,                0.48405,                0.89051,              0.0013699,              0.0013699,              0.0013699
                     21,                0.70648,                0.45458,                0.86437,                0.88726,                0.87041,                0.93988,                0.75615,                0.71393,                0.48876,                0.90979,              0.0013534,              0.0013534,              0.0013534
                     22,                 0.7054,                0.45704,                0.86511,                0.90257,                0.87161,                0.94293,                0.76084,                0.68861,                0.47346,                0.88812,              0.0013369,              0.0013369,              0.0013369
