epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51615,3.76187,3.80243,4.27585,0.0055,0.54043,0.01556,0.00469,3.99784,3.39186,4.15608,0.000545918,0.000545918,0.000545918
2,14.3434,3.5469,3.53785,3.99739,0.01044,0.37208,0.01501,0.00488,4.4594,3.92827,4.58513,0.00109068,0.00109068,0.00109068
3,19.166,3.27677,3.3636,3.78381,0.03461,0.02439,0.0119,0.0042,3.64521,3.78243,3.88805,0.00162444,0.00162444,0.00162444
4,23.9135,3.20059,3.28666,3.57179,0.02366,0.05488,0.0111,0.00281,3.27451,4.86388,3.41546,0.00161749,0.00161749,0.00161749
5,28.6105,3.02757,3.17236,3.39199,0.00776,0.07662,0.00503,0.00121,3.65486,10.2305,3.37447,0.00160099,0.00160099,0.00160099
6,33.4804,2.96081,3.1129,3.29285,0.53323,0.08537,0.03098,0.00724,2.98942,3.65892,2.92253,0.00158448,0.00158448,0.00158448
7,38.4059,2.90737,3.02741,3.1505,0.04762,0.12222,0.02536,0.0059,3.14148,3.63336,2.99636,0.00156798,0.00156798,0.00156798
8,43.1997,2.83965,2.98589,3.11346,0.05934,0.13706,0.03634,0.00805,3.10239,3.6199,3.03952,0.00155148,0.00155148,0.00155148
9,48.1202,2.71426,2.86919,2.9877,0.08585,0.03871,0.03299,0.00837,2.96948,4.40958,2.90306,0.00153497,0.00153497,0.00153497
10,52.9864,2.67507,2.87991,2.92806,0.08025,0.05501,0.04059,0.01206,2.98149,4.13659,2.97815,0.00151847,0.00151847,0.00151847
11,57.7135,2.60032,2.81197,2.83976,0.0978,0.21628,0.08438,0.02034,2.73989,2.89171,2.67045,0.00150197,0.00150197,0.00150197
12,62.4674,2.57659,2.75687,2.78885,0.18467,0.39494,0.16553,0.03999,2.76191,2.57516,2.60226,0.00148546,0.00148546,0.00148546
13,67.175,2.48887,2.70857,2.73079,0.18455,0.25411,0.17187,0.04244,2.67496,2.75886,2.5909,0.00146896,0.00146896,0.00146896
14,71.9359,2.47078,2.67099,2.6875,0.16423,0.27929,0.15634,0.03763,2.58892,3.07652,2.49957,0.00145246,0.00145246,0.00145246
15,76.7515,2.37379,2.68264,2.67728,0.15112,0.27876,0.11155,0.04007,2.58411,4.21981,2.4779,0.00143595,0.00143595,0.00143595
16,81.4983,2.35767,2.62723,2.62017,0.20723,0.36837,0.1677,0.04941,2.50627,2.42231,2.4112,0.00141945,0.00141945,0.00141945
17,86.4427,2.27697,2.55246,2.60866,0.27779,0.40032,0.2531,0.08553,2.50325,2.34777,2.47979,0.00140295,0.00140295,0.00140295
18,91.2555,2.29113,2.48969,2.54568,0.20091,0.38242,0.19899,0.06573,2.3712,2.4929,2.38775,0.00138644,0.00138644,0.00138644
19,95.9096,2.26323,2.43672,2.51383,0.21197,0.39475,0.22193,0.07587,2.2937,2.42154,2.30776,0.00136994,0.00136994,0.00136994
20,100.541,2.15619,2.40916,2.49533,0.24112,0.44896,0.22532,0.07886,2.31023,2.51307,2.33608,0.00135344,0.00135344,0.00135344
21,105.268,2.21769,2.44564,2.46477,0.30194,0.55541,0.34259,0.10251,2.27912,2.35708,2.31631,0.00133693,0.00133693,0.00133693
22,110.02,2.14137,2.36948,2.44003,0.2547,0.38478,0.24089,0.08049,2.40495,2.41846,2.36361,0.00132043,0.00132043,0.00132043
23,114.722,2.15259,2.36645,2.39359,0.23482,0.41636,0.26228,0.09252,2.2233,2.7323,2.19527,0.00130393,0.00130393,0.00130393
