epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41594,4.58661,4.09685,4.36318,0.00729,0.53162,0.04811,0.02265,5.7466,3.83787,4.22146,0.000546984,0.000546984,0.000546984
2,14.7783,4.09734,3.33615,3.68194,0.00796,0.53529,0.05847,0.03067,5.64535,3.78428,4.13236,0.00109173,0.00109173,0.00109173
3,20.2949,3.72005,3.07112,3.38942,0.11286,0.18594,0.04446,0.00803,3.77271,5.97713,2.95262,0.00162548,0.00162548,0.00162548
4,25.5878,3.32474,2.92079,3.09696,0.13873,0.38751,0.0787,0.01862,3.51808,6.47764,2.72269,0.00161749,0.00161749,0.00161749
5,31.0278,3.09289,2.71068,2.93287,0.07617,0.11042,0.04547,0.01206,3.24015,4.80066,2.69461,0.00160099,0.00160099,0.00160099
6,36.3727,2.99094,2.68322,2.79829,0.10964,0.24211,0.09362,0.02333,3.14518,2.64314,2.50539,0.00158448,0.00158448,0.00158448
7,41.6685,2.92042,2.56794,2.7232,0.20347,0.43333,0.15745,0.05146,2.77392,2.5478,2.19138,0.00156798,0.00156798,0.00156798
8,46.9966,2.88389,2.50258,2.65369,0.1096,0.13068,0.09376,0.03209,3.01256,5.60495,2.30631,0.00155148,0.00155148,0.00155148
9,52.3418,2.7491,2.50374,2.63205,0.25023,0.33228,0.25129,0.09406,2.7026,2.85836,2.12596,0.00153497,0.00153497,0.00153497
10,57.4898,2.69218,2.41004,2.54229,0.27311,0.33123,0.22148,0.06687,2.66176,2.67695,2.0467,0.00151847,0.00151847,0.00151847
11,62.5947,2.6077,2.29911,2.45693,0.74886,0.26705,0.26091,0.09472,2.62309,2.48264,2.08815,0.00150197,0.00150197,0.00150197
12,68.0588,2.49665,2.29662,2.42343,0.26615,0.48797,0.34148,0.12936,2.36019,2.39631,1.88847,0.00148546,0.00148546,0.00148546
13,73.4277,2.39658,2.1671,2.31635,0.75513,0.2642,0.25734,0.10981,2.51078,2.41966,2.02428,0.00146896,0.00146896,0.00146896
14,78.6565,2.41658,2.11817,2.28689,0.40716,0.51885,0.46952,0.18622,2.10379,2.01921,1.71,0.00145246,0.00145246,0.00145246
15,84.0117,2.2833,2.12051,2.28104,0.28021,0.44629,0.34734,0.15264,2.1134,2.1127,1.7419,0.00143595,0.00143595,0.00143595
16,89.1808,2.28483,2.06209,2.2458,0.42481,0.55915,0.43966,0.1972,2.03858,2.03309,1.73504,0.00141945,0.00141945,0.00141945
17,94.4467,2.22274,1.99612,2.15175,0.4288,0.45123,0.43654,0.18908,2.095,1.83215,1.71237,0.00140295,0.00140295,0.00140295
18,99.6947,2.17731,1.88863,2.11733,0.37221,0.4805,0.41659,0.17658,2.09333,2.19973,1.64633,0.00138644,0.00138644,0.00138644
19,104.861,2.17304,1.90608,2.06257,0.43833,0.52471,0.49499,0.22226,1.88362,1.9087,1.67845,0.00136994,0.00136994,0.00136994
20,110.076,2.08599,1.86671,2.03983,0.43527,0.51051,0.4456,0.21732,1.8548,2.0025,1.6275,0.00135344,0.00135344,0.00135344
21,115.244,2.10163,1.82733,2.04116,0.29831,0.47698,0.38102,0.17018,1.98624,2.01793,1.63083,0.00133693,0.00133693,0.00133693
22,120.659,2.03605,1.79167,2.00509,0.41368,0.5565,0.42701,0.20864,1.86556,1.91123,1.60208,0.00132043,0.00132043,0.00132043
23,126.033,2.05401,1.74253,1.98507,0.45379,0.39919,0.4147,0.1952,2.01449,1.8585,1.64405,0.00130393,0.00130393,0.00130393
24,131.19,1.94212,1.67241,1.93788,0.48422,0.60973,0.49016,0.24061,1.81489,1.88566,1.51077,0.00128742,0.00128742,0.00128742
25,136.565,1.9145,1.68548,1.92084,0.76412,0.40524,0.40955,0.19239,1.97917,1.9473,1.56926,0.00127092,0.00127092,0.00127092
26,141.731,1.95386,1.66715,1.91878,0.43725,0.54917,0.48424,0.23041,1.82795,2.0609,1.54005,0.00125442,0.00125442,0.00125442
27,146.869,1.89994,1.65684,1.88888,0.50054,0.57233,0.53193,0.24979,1.83627,1.62901,1.47311,0.00123791,0.00123791,0.00123791
28,152.009,1.93311,1.61844,1.89505,0.56508,0.45515,0.50929,0.27372,1.80936,1.66131,1.47642,0.00122141,0.00122141,0.00122141
29,157.182,1.85372,1.60574,1.88303,0.45714,0.58363,0.53924,0.28123,1.77962,1.51083,1.44284,0.00120491,0.00120491,0.00120491
30,162.219,1.86857,1.60718,1.89797,0.56255,0.56128,0.54309,0.27399,1.82033,1.65458,1.42755,0.0011884,0.0011884,0.0011884
31,167.492,1.82116,1.56093,1.80862,0.40373,0.65497,0.46695,0.23339,1.77382,1.92353,1.43471,0.0011719,0.0011719,0.0011719
32,172.779,1.8057,1.48662,1.80444,0.51708,0.58691,0.54902,0.28613,1.70559,1.57191,1.44943,0.0011554,0.0011554,0.0011554
33,178.015,1.78049,1.45535,1.79703,0.55357,0.62102,0.57613,0.28841,1.75796,1.5912,1.45816,0.00113889,0.00113889,0.00113889
34,183.283,1.77454,1.461,1.78721,0.59345,0.74564,0.70274,0.36483,1.67717,1.36565,1.44976,0.00112239,0.00112239,0.00112239
35,188.804,1.75795,1.43919,1.78344,0.59724,0.64749,0.63848,0.33966,1.68713,1.48167,1.45694,0.00110589,0.00110589,0.00110589
36,194.123,1.76526,1.40083,1.77522,0.5431,0.4713,0.48965,0.24763,1.82958,1.78826,1.51134,0.00108938,0.00108938,0.00108938
37,199.426,1.72197,1.38064,1.71365,0.55253,0.6065,0.56466,0.29752,1.73972,1.60611,1.44356,0.00107288,0.00107288,0.00107288
38,204.932,1.7124,1.38615,1.73503,0.5375,0.60642,0.60436,0.3045,1.76247,1.57703,1.39665,0.00105638,0.00105638,0.00105638
39,210.22,1.7428,1.38506,1.70165,0.47125,0.50465,0.48425,0.24035,1.81444,1.96045,1.45624,0.00103987,0.00103987,0.00103987
40,215.812,1.70973,1.37227,1.7219,0.53132,0.69638,0.55135,0.30515,1.65226,1.50138,1.47808,0.00102337,0.00102337,0.00102337
