epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89839,4.12934,3.97936,4.29004,0.00515,0.56338,0.02357,0.0121,5.10077,3.45808,4.13303,0.000545744,0.000545744,0.000545744
2,13.6482,3.86989,3.70436,3.97366,0.00786,0.57233,0.03572,0.0152,5.38559,3.76998,4.37825,0.00109051,0.00109051,0.00109051
3,18.3392,3.61607,3.56559,3.76539,0.5072,0.02083,0.01575,0.00395,4.9895,3.83052,4.1704,0.00162427,0.00162427,0.00162427
4,23.017,3.32044,3.41008,3.59202,0.02856,0.12254,0.01356,0.00394,3.7053,5.18256,3.40535,0.00161749,0.00161749,0.00161749
5,27.6673,3.17616,3.29538,3.40973,0.09335,0.10839,0.04701,0.01291,3.76624,9.28579,3.16937,0.00160099,0.00160099,0.00160099
6,32.4075,3.01071,3.24122,3.27813,0.04831,0.25,0.0488,0.01408,3.15738,3.13174,2.88131,0.00158448,0.00158448,0.00158448
7,37.2765,2.87151,3.14904,3.1938,0.07782,0.17138,0.05225,0.01525,3.34414,2.99745,2.94991,0.00156798,0.00156798,0.00156798
8,42.0254,2.82172,3.08408,3.09439,0.10966,0.18553,0.06858,0.02255,2.82516,3.02623,2.67014,0.00155148,0.00155148,0.00155148
9,46.6867,2.78756,3.07871,3.02949,0.31803,0.25943,0.10434,0.02784,2.83784,2.76926,2.67242,0.00153497,0.00153497,0.00153497
10,51.3072,2.73697,2.94652,2.91956,0.11376,0.31014,0.09495,0.0246,2.81757,2.92124,2.55374,0.00151847,0.00151847,0.00151847
11,55.8701,2.65956,2.90282,2.83795,0.17502,0.41161,0.08789,0.03147,2.68516,2.73695,2.46776,0.00150197,0.00150197,0.00150197
12,60.6946,2.59355,2.86422,2.81806,0.2736,0.19497,0.16539,0.05405,2.65882,2.86014,2.39588,0.00148546,0.00148546,0.00148546
13,65.5238,2.6084,2.79419,2.73592,0.11141,0.20859,0.08627,0.02809,2.58825,2.86741,2.35693,0.00146896,0.00146896,0.00146896
14,70.293,2.51363,2.73114,2.67972,0.17562,0.2898,0.14566,0.05257,2.56375,2.62687,2.33655,0.00145246,0.00145246,0.00145246
15,74.9394,2.44194,2.67421,2.61017,0.28964,0.32167,0.22952,0.0921,2.47745,2.32275,2.25743,0.00143595,0.00143595,0.00143595
16,79.6213,2.38673,2.63466,2.61303,0.20937,0.31444,0.1848,0.06908,2.47377,2.51535,2.25375,0.00141945,0.00141945,0.00141945
17,84.2083,2.38748,2.60089,2.54167,0.33815,0.39978,0.26514,0.11842,2.38487,2.58374,2.19866,0.00140295,0.00140295,0.00140295
18,88.7852,2.33144,2.59298,2.49504,0.34021,0.3295,0.2719,0.11598,2.27496,2.72637,2.15323,0.00138644,0.00138644,0.00138644
19,93.3008,2.31896,2.52576,2.48111,0.35962,0.29678,0.25903,0.10833,2.26424,2.349,2.13184,0.00136994,0.00136994,0.00136994
20,97.8595,2.27285,2.52788,2.46207,0.32263,0.43268,0.24887,0.09059,2.24101,2.2786,2.12109,0.00135344,0.00135344,0.00135344
21,102.415,2.23914,2.46506,2.42087,0.35426,0.37343,0.28575,0.11482,2.19456,2.24907,2.07334,0.00133693,0.00133693,0.00133693
22,106.963,2.15102,2.36869,2.30279,0.47786,0.43376,0.36316,0.15658,2.21723,2.1831,2.05683,0.00132043,0.00132043,0.00132043
23,111.438,2.18829,2.3932,2.34481,0.49684,0.43121,0.39402,0.1689,2.15102,2.04876,2.00937,0.00130393,0.00130393,0.00130393
24,116.097,2.16576,2.33589,2.31754,0.4584,0.37962,0.37994,0.15478,2.16568,2.1769,2.00385,0.00128742,0.00128742,0.00128742
