Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,626253.7889095736,610773.0030320128,546688.3748011327,524693.6339845648,520808.21696486336,504056.91663630796,510448.3918808055,514810.42443745316,513539.4227280981,530836.24882887,555489.946179101,573384.0539924055,573076.7858888694,585747.6357666603,579608.4047439512,608646.5416139141,621730.1857649873,633487.1950290819,622402.8566912478,624317.9930763859,603247.5753645701,582074.5325512264,566439.3985921922,549887.6741534822,548935.9207026996,537823.5770274521,513732.80412656534,512506.3869695368,518521.9479538556,506210.09191259724,488003.5952362424
Austria,66839.80065125745,63510.44321155604,66620.30166521983,59455.647122696675,67054.99114682538,60182.371018373706,64257.0397870222,60040.829926279825,62758.76270955762,59978.9692310052,66335.33277551009,55087.40839379537,73083.17781069165,76334.78738861052,69002.7030244133,74170.22181206936,81085.78406987128,81695.74102429638,74397.51971043061,72088.1370071335,64934.19370888505,67145.81289424277,74020.83833297376,73986.20612797934,69050.39247428793,72321.36595069939,72828.51647244595,78883.08018743465,83775.25886342267,82126.61235604314,68688.64609337307
Belarus,115940.80729481029,110083.45161367273,97649.21783689111,90559.4665482104,66183.73762806428,58018.69438770332,59374.033820555465,60325.86000697505,60517.71669203158,50873.44247258285,46508.14958500983,46107.230459787716,47011.28348901678,51409.39496695858,52565.810812206764,52463.868162958446,53046.70698013394,49101.29505279244,52129.28731016964,46997.644783850345,45738.05296745821,46086.466285000584,48985.98607767717,48436.570125130405,47769.02683537075,44498.79596766738,47449.763377642725,52286.45644804182,52290.01567223199,56661.426119902055,52491.85952966372
Belgium,142908.4425231199,146108.9901306535,145787.34384329128,144589.810714825,149390.2749295544,151295.95416351085,154747.81705889563,146791.74683873457,151427.78452519735,145625.10494407587,147191.15365364365,145804.49681820863,145307.84920690508,145730.31904804052,146818.3006333753,143653.11151049164,140973.90554279988,137651.46586202754,137665.47451107498,125246.45807677749,133282.06287982536,122901.64128660267,120167.3619346923,119599.79188779922,113971.73161677436,118134.14739092167,116651.14334555263,116263.92351950867,116976.65898018907,115983.23975615877,106937.75245356328
Bulgaria,82566.08141688898,64426.60388350226,59373.53117203962,58373.83876978301,54189.30120173137,55640.26246440397,56673.12275644236,53209.72852755817,49385.46079307823,42435.95101880739,40304.116924732916,45838.534143624594,42949.66731920588,48293.5946031023,46624.35161721196,45904.20935551379,49951.37220128474,52927.00897454131,53229.95165871896,44269.16342550903,47506.28761265139,56209.28966604965,51654.63203000957,47567.23546798702,49365.03243767638,52732.30270383807,48285.82512972888,50289.82813443329,45798.189716269735,44576.57049024801,38579.07673440403
Canada,524095.8048346715,513549.45587477577,542230.3575752726,554003.4923723228,564964.2351446594,596703.3437150365,612866.1018674005,624806.1377326349,624897.3835183403,644872.5726365573,681687.0013000976,663772.5882218963,703795.1799749455,723240.3949930351,724291.7985800534,726677.6844996747,705956.5183884421,731193.6002464512,709425.2615917299,640754.1975671027,683694.5481559228,699362.8230121888,695184.0101102786,703363.1026367359,680879.488803606,722942.1690697629,693972.0346323627,696007.190093143,713322.1307476497,704858.1789851534,645400.7077025549
Croatia,25141.982218062,17335.04197637781,15350.308593081907,15181.895639164224,13997.310940203848,14181.729567729044,15029.976653279746,17001.305144552876,17319.35943239037,17812.13719275774,18958.21946666723,18899.51656170031,19684.21372463124,21970.0564439209,21658.11778900958,21907.764315234555,22498.24440377833,25084.670264138644,23927.860717763466,21636.139096726503,21283.432270180787,22250.53097434467,20932.228599047085,18742.355490787428,18151.104736562607,18912.649322641384,19125.451470596257,20813.57367681932,19097.161418579763,19063.546914139017,18240.028233173856
Cyprus,5418.660654375144,5909.366207932328,6341.025671273223,6625.779068387279,6874.016348578074,6792.14868626981,7159.670413957291,7254.817321098701,7564.40542015856,7833.912663696795,8163.938031574359,8079.1521679716425,8280.377205062821,8660.10543401368,8863.081796183422,9001.614060941778,9247.999792781424,9620.761127082847,9775.56084574565,9512.3249276873,9190.82931422233,8857.683417540673,8331.061021724856,7622.949393582234,7995.8064231040335,8047.164928102887,8599.229723794273,8659.035983517435,8518.884232375825,8594.577584097817,8204.313433956037
Czechia,190189.53129997407,170924.73781146566,164965.2625786343,157636.45012404892,150027.70587036427,148694.70667743913,152296.51429637097,148736.09466151363,142879.2292243137,132674.92281344612,141971.33500466615,141599.59523348857,138036.86023713963,141835.2707687844,142866.87252708577,140676.8974775093,143088.9873430403,145322.4218094859,138925.1873292527,129494.5503281017,133012.71635635814,131048.73293508416,126916.17355231213,122170.08702822165,120045.66623301899,121542.34550182291,123999.68327165757,126453.1070985431,130181.88406764939,131229.3256925714,124339.90212057803
Denmark,78751.95529888818,88679.79140648925,83690.0566962507,84506.06174725569,87979.87653128452,85210.53062533164,97733.59196304306,88676.40480288354,84609.2972220563,82274.1789847507,77865.82538265624,79111.72946874305,79600.76626040266,84476.16124171492,78273.98681795468,73928.17602550193,81844.05172018537,77515.77447468296,72491.08883587172,69028.48174934748,68410.60508638131,62653.23965023596,57622.50165810591,58978.119694758156,55518.80947495284,51719.92734249672,54873.10521315993,52690.406803599726,54547.114638634615,49931.689586718916,47621.75979564114
Estonia,36580.885326195916,33834.263202445494,24652.559650640902,18038.767443992787,19092.65313587458,16718.719878665594,17302.050147959006,16890.0780469254,14656.001860884247,13933.503823559755,12774.803737068642,12969.223442364377,12703.988056087905,14969.933815834718,14634.350214973396,16386.818825711558,14156.899982593897,18151.43283222788,14781.515666636902,11707.804048786662,15628.933934261386,15879.537011770153,16403.89439371307,19163.295189257842,20780.627586449766,17188.670000945094,19452.74717619256,21165.774618635096,22287.349617359403,15687.338637485356,13916.154700484843
European Union (Convention),4651758.222472405,4444097.426776395,4319589.046199668,4226448.73705153,4211668.022557665,4238250.475988286,4311144.779568293,4247544.688056529,4195150.0361667285,4105216.47773019,4142748.2347827954,4142209.789734554,4158107.7116045146,4250729.691039984,4214237.759578747,4195186.823702896,4182107.9921454825,4197693.252508365,4059809.0819487446,3742006.367739025,3824203.9410274345,3718746.3562066643,3649077.3012128556,3562588.4867833504,3436530.2949773045,3486637.6352761313,3492920.123870331,3582981.1514133997,3489866.849233126,3340941.9821717064,3059425.552087904
Finland,45280.90481661842,30804.020514779975,35430.317780243655,36979.491194675495,49335.89843386675,46913.53137958354,46536.56308244472,49804.72263803249,48104.053813199964,47177.07509203963,45685.40196707338,50293.40129363384,51539.37854162522,58622.63551253237,53365.787700588226,41256.91554966067,48761.347849143276,56730.905541859596,45999.69091929366,30144.795827193062,49529.47594279577,42513.21799087542,35208.57721459131,42427.87361620653,37758.79351484854,38309.6799304485,44419.56962956219,44007.423269225925,54150.49890999979,46009.77868772394,38643.311674039775
France,523909.70691789105,549848.7468995374,542460.1126835493,517469.16303745256,511213.090249308,514204.21446998714,525208.9782972038,515961.286526288,527811.8105797525,518216.7167097715,527644.5677125835,519968.1361589422,506757.45218481874,504713.8312742758,503416.01802779624,503205.43115928717,492620.7838314284,484336.3116802664,479369.7541119554,468924.1237153599,470208.6137402647,443902.8423165838,440645.65741958027,442442.7658971059,415983.87792166386,423580.8620891623,432836.10249943857,446785.6606787373,427214.36395223206,421617.28564541717,376060.51649349753
Germany,1287200.4042125903,1180108.959662848,1122249.4354419345,1111968.105298709,1098476.8216767297,1097542.31283485,1121151.0825115046,1086218.3971733395,1061504.0282412085,1023116.4013146679,1040040.6550515216,1045221.217669032,1055511.2566554265,1046729.5088808326,1022360.496100177,992819.4459634281,992776.1746362419,968829.6529664595,963535.5908325373,888193.2226809281,929723.2982616755,898693.0873814967,895880.956083777,917292.6165159595,884395.1376233336,885486.2938991194,884832.4032917479,870877.5853756083,838514.2590769213,787811.4091655838,735119.5243688001
Greece,101738.09561045287,101633.53637468668,102717.25902886914,101774.30270755739,104671.31419220255,106540.2424791264,110191.29349228495,115306.46485222787,120766.20821997545,120286.10702278935,124139.63490241014,125104.6510185908,124757.66671894921,128857.44458233619,129521.32440565512,133219.64292968853,129680.3141018863,133579.1179956849,129162.0019410344,121836.75531039637,115767.70672874904,112680.36593272118,109382.00526827233,101240.11530124613,99229.86790503844,91712.31308354945,88202.62414102966,91999.99716955969,87912.01133401525,80752.8312688204,70048.59046944979
Hungary,91623.4865746023,86158.34431455642,75764.96599103212,74098.88509731002,72338.32487037304,71287.13120273376,77117.56284265209,75158.0457659451,73567.17715737973,76244.07854902129,74278.9324049103,74417.16123219368,73414.88286031481,73933.24579952713,73724.84300927912,70956.84574629813,71613.61572095174,69621.96132833947,65888.1321454036,61308.750617941965,61701.8103268208,60689.221369765255,56792.63073112467,54588.35466063106,53890.693668122636,56513.39645445726,58134.72595665258,59707.636894444615,60222.042581978676,59383.73496504186,55855.771961267295
