Country,Year,Emissions
Australia,1990,626253.7889095736
Austria,1990,66839.80065125745
Belarus,1990,115940.80729481029
Belgium,1990,142908.4425231199
Bulgaria,1990,82566.08141688898
Canada,1990,524095.8048346715
Croatia,1990,25141.982218062
Cyprus,1990,5418.660654375144
Czechia,1990,190189.53129997407
Denmark,1990,78751.95529888818
Estonia,1990,36580.885326195916
European Union (Convention),1990,4651758.222472405
Finland,1990,45280.90481661842
France,1990,523909.70691789105
Germany,1990,1287200.4042125903
Greece,1990,101738.09561045287
Hungary,1990,91623.4865746023
Iceland,1990,13291.645409625697
Ireland,1990,61652.27864809546
Italy,1990,517991.61068784026
Japan,1990,1206061.8472760725
Kazakhstan,1990,380186.58330586366
Latvia,1990,13632.619457296443
Liechtenstein,1990,237.1787505628568
Lithuania,1990,42786.657334978285
Luxembourg,1990,12731.402874654663
Malta,1990,2618.431086552902
Monaco,1990,102.34753556892667
Netherlands,1990,228018.1666912618
New Zealand,1990,44548.84224253536
Norway,1990,40883.8908461482
Poland,1990,446060.65933380486
Portugal,1990,66611.14258045048
Romania,1990,228533.2496561666
Russian Federation,1990,3089163.443591085
Slovakia,1990,64405.865332934154
Slovenia,1990,14403.089659942387
Spain,1990,253814.27969066935
Sweden,1990,25142.83415840679
Switzerland,1990,53170.08853169214
Türkiye,1990,153015.19538037715
Ukraine,1990,911393.9717345288
United Kingdom of Great Britain and Northern Ireland,1990,817454.3198581907
United States of America,1990,5606376.531252693
Australia,1991,610773.0030320128
Austria,1991,63510.44321155604
Belarus,1991,110083.45161367273
Belgium,1991,146108.9901306535
Bulgaria,1991,64426.60388350226
Canada,1991,513549.45587477577
Croatia,1991,17335.04197637781
Cyprus,1991,5909.366207932328
Czechia,1991,170924.73781146566
Denmark,1991,88679.79140648925
Estonia,1991,33834.263202445494
European Union (Convention),1991,4444097.426776395
Finland,1991,30804.020514779975
France,1991,549848.7468995374
Germany,1991,1180108.959662848
Greece,1991,101633.53637468668
Hungary,1991,86158.34431455642
Iceland,1991,13093.225540939531
Ireland,1991,62367.351891063336
Italy,1991,503760.80316238414
Japan,1991,1211718.4595878094
Kazakhstan,1991,368300.25159323786
Latvia,1991,11322.073895219011
Liechtenstein,1991,229.0758943392501
Lithuania,1991,44433.2135762067
Luxembourg,1991,13294.3652951732
Malta,1991,2471.841548188825
Monaco,1991,103.19977483659063
Netherlands,1991,236001.405700379
New Zealand,1991,43527.63607622821
Norway,1991,36723.408775578995
Poland,1991,441751.835790652
Portugal,1991,59166.30046488886
Romania,1991,181336.94136552943
Russian Federation,1991,2969236.8503206205
Slovakia,1991,54176.42881265289
Slovenia,1991,12700.24487375463
Spain,1991,261369.914933218
Sweden,1991,25520.46475633486
Switzerland,1991,51926.7755954798
Türkiye,1991,159421.58157517578
Ukraine,1991,816832.0791008819
United Kingdom of Great Britain and Northern Ireland,1991,825813.5427902505
United States of America,1991,5531222.092678344
Australia,1992,546688.3748011327
Austria,1992,66620.30166521983
Belarus,1992,97649.21783689111
Belgium,1992,145787.34384329128
Bulgaria,1992,59373.53117203962
Canada,1992,542230.3575752726
Croatia,1992,15350.308593081907
Cyprus,1992,6341.025671273223
Czechia,1992,164965.2625786343
Denmark,1992,83690.0566962507
Estonia,1992,24652.559650640902
European Union (Convention),1992,4319589.046199668
Finland,1992,35430.317780243655
France,1992,542460.1126835493
Germany,1992,1122249.4354419345
Greece,1992,102717.25902886914
Hungary,1992,75764.96599103212
Iceland,1992,13018.599167139417
Ireland,1992,62158.02881121369
Italy,1992,505039.5963100813
Japan,1992,1219843.4522642372
Kazakhstan,1992,345524.7136247889
Latvia,1992,6163.185748414202
Liechtenstein,1992,240.05291606072305
Lithuania,1992,25627.34810040862
Luxembourg,1992,12653.76577406507
Malta,1992,2508.071303225943
Monaco,1992,108.84230111370844
Netherlands,1992,236403.3071195184
New Zealand,1992,44820.262406882655
Norway,1992,35680.319181932544
Poland,1992,450651.07839646755
Portugal,1992,56375.8408591181
Romania,1992,164348.0470911174
Russian Federation,1992,2481680.174150512
Slovakia,1992,47823.9608419505
Slovenia,1992,12568.573661905462
Spain,1992,270608.5913824515
Sweden,1992,26170.76860703556
Switzerland,1992,52558.94647430283
Türkiye,1992,165658.91453012015
Ukraine,1992,761954.2590834142
United Kingdom of Great Britain and Northern Ireland,1992,804700.0936534555
United States of America,1992,5652355.91754691
Australia,1993,524693.6339845648
Austria,1993,59455.647122696675
Belarus,1993,90559.4665482104
Belgium,1993,144589.810714825
Bulgaria,1993,58373.83876978301
Canada,1993,554003.4923723228
Croatia,1993,15181.895639164224
Cyprus,1993,6625.779068387279
Czechia,1993,157636.45012404892
Denmark,1993,84506.06174725569
Estonia,1993,18038.767443992787
European Union (Convention),1993,4226448.73705153
Finland,1993,36979.491194675495
France,1993,517469.16303745256
Germany,1993,1111968.105298709
Greece,1993,101774.30270755739
Hungary,1993,74098.88509731002
Iceland,1993,13099.094025131793
Ireland,1993,62858.701186059276
Italy,1993,511059.5962281123
Japan,1993,1212355.7053689896
Kazakhstan,1993,312636.53101978265
Latvia,1993,2829.4582467896184
Liechtenstein,1993,243.84097570161288
Lithuania,1993,18546.49394974162
Luxembourg,1993,12690.130496627607
Malta,1993,3110.941867396235
Monaco,1993,107.99325348571824
Netherlands,1993,236784.1145931633
New Zealand,1993,43758.42447272155
